Image names,I_B,I_S,I_BS,"I_max, rel","I_max, rel fit",I_decay
als_1-1_,425,653,228,1006,927,-11922
als_1-2_,425,673,247,891,832,-7017
als_1-3_,425,622,196,811,751,-6219
soap_,407,17182,16743,33629,34909,-39641
sls_1_4_,384,12797,12420,23385,21000,-30855
soap_1_3_,384,17991,17609,26177,24502,-18455
tt_sls_1_1_4_,384,1501,1121,4231,2149,-21757
tt_soap_1_3_9_,384,7724,7382,35496,18517,-61519
tergitol_,384,2287,1904,13902,5567,-54510
